,Unnamed: 0,post_datetime,post_title_link,post_title_text,post_hood,detail_body,Completed,pay_from_post,pay_rate
0,0,2022-09-26T16:16:39.000Z,https://boston.craigslist.org/gbs/lbg/7538522858.html,* Deliver with DoorDash *,boston/cambridge/brookline,,True,,lump
1,1,2022-09-26T16:13:53.000Z,https://boston.craigslist.org/gbs/dmg/7538530030.html,Up to $300 Paid Research for Toyota / Lexus Drivers,Boston,,True,300.0,lump
2,2,2022-09-26T16:08:33.000Z,https://boston.craigslist.org/gbs/lbg/7538522794.html,Grubhub Delivery Driver - No Experience Needed!,Boston,,True,,hourly
3,3,2022-09-26T15:57:42.000Z,https://boston.craigslist.org/gbs/tlg/7538520610.html,"The most fun work at live events! 52,000 real gigs, $20-$40 per hr",Greater Boston area,,True,30.0,hourly
4,4,2022-09-26T15:44:01.000Z,https://boston.craigslist.org/gbs/lbg/7538513807.html,💸📈💸📈LAWN CARE PROS - MAKE UP TO $1000 PER WEEK,boston/cambridge/brookline,,True,1000.0,weekly
5,5,2022-09-26T15:35:40.000Z,https://boston.craigslist.org/bmw/lbg/7538509552.html,CARGO VAN OR BOX TRUCK WITH MOVER NEEDED,metro west,,True,1800.0,lump
6,6,2022-09-26T15:32:22.000Z,https://boston.craigslist.org/gbs/dmg/7538507786.html,Instacart Shopper - Delivery Driver,Boston,,True,,hourly
7,7,2022-09-26T15:30:49.000Z,https://boston.craigslist.org/bmw/dmg/7538506911.html,Love pets? Earn $$$ in your neighborhood!,boston,,True,,daily
8,8,2022-09-26T15:01:44.000Z,https://boston.craigslist.org/gbs/dmg/7538492121.html,"Take Part in a Behavior, Biology, and Well-Being Study",boston/cambridge/brookline,,True,265.0,lump
9,9,2022-09-26T14:13:52.000Z,https://boston.craigslist.org/nos/dmg/7538469964.html,Work at Home - Neighbor's Storage in Your House,Reno,,True,300.0,daily
10,10,2022-09-26T14:00:54.000Z,https://boston.craigslist.org/gbs/tlg/7538463795.html,Shop and Deliver - No Experience Required,Boston,,True,,hourly
11,11,2022-09-26T13:53:56.000Z,https://boston.craigslist.org/sob/evg/7538460753.html,Event coordinator,Brockton,,True,251.25,hourly
12,12,2022-09-26T13:49:04.000Z,https://boston.craigslist.org/gbs/cpg/7538458599.html,Marketing Position Available,boston/cambridge/brookline,,True,400.0,weekly
13,13,2022-09-26T13:37:01.000Z,https://boston.craigslist.org/bmw/crg/7538453998.html,Singers,Revere,,True,,lump
14,14,2022-09-26T13:34:40.000Z,https://boston.craigslist.org/bmw/cwg/7538453122.html,Singers to perform a song,Revere,,True,,lump
15,15,2022-09-26T13:08:50.000Z,https://boston.craigslist.org/bmw/dmg/7538444298.html,Are memories of a trauma interfering with your life?,McLean Hospital/Harvard Medical School,,True,280.0,lump
16,16,2022-09-26T12:50:02.000Z,https://boston.craigslist.org/gbs/wrg/7538438560.html,► Freelance Writer Wanted - Pay $100 per article (Remote OK),boston/cambridge/brookline,,True,100.0,lump
17,17,2022-09-26T12:30:41.000Z,https://boston.craigslist.org/gbs/lbg/7538433527.html,More Flexible than Part Time - Shop and Deliver - Instacart,Boston,,True,,hourly
18,18,2022-09-26T12:24:28.000Z,https://boston.craigslist.org/gbs/lbg/7538431991.html,"🌎 Earn $200+ Sharing Your Opinions on New Products, Foods, More 🌎",Online: Computer or Phone,,True,200.0,lump
19,19,2022-09-26T12:14:02.000Z,https://boston.craigslist.org/gbs/lbg/7538429753.html,"Clinical Research Studies - Payment up to $1,500, varies by study",boston/cambridge/brookline,,True,1500.0,lump
20,20,2022-09-26T12:12:53.000Z,https://boston.craigslist.org/gbs/lbg/7538429524.html,Migraine Clinical Trials - Payment up to $600,boston/cambridge/brookline,,True,600.0,lump
21,21,2022-09-26T12:12:38.000Z,https://boston.craigslist.org/sob/lbg/7538429463.html,Earn $26 to $52 per hour assembling furniture for Wayfair!,south shore,,True,39.0,hourly
22,22,2022-09-26T12:12:37.000Z,https://boston.craigslist.org/nos/lbg/7538429459.html,Earn $26 to $52 per hour assembling furniture for Wayfair!,north shore,,True,39.0,hourly
23,23,2022-09-26T11:02:49.000Z,https://boston.craigslist.org/bmw/crg/7538418025.html,Make $50/hr Participating in Paid Product and Taste Tests!,Natick,,True,50.0,hourly
24,24,2022-09-26T11:02:23.000Z,https://boston.craigslist.org/bmw/evg/7538417981.html,Make $50/hr Participating in Paid Taste Product and Tests!,"Natick, MA",,True,50.0,hourly
25,25,2022-09-26T11:02:00.000Z,https://boston.craigslist.org/bmw/dmg/7538417937.html,Make $50/hr Participating in Paid Product and Taste Tests!,"Natick, MA",,True,50.0,hourly
26,26,2022-09-26T07:14:56.000Z,https://boston.craigslist.org/gbs/dmg/7538402479.html,Package delivery helper,boston/cambridge/brookline,,True,21.0,hourly
27,27,2022-09-26T05:05:49.000Z,https://boston.craigslist.org/gbs/lbg/7538392447.html,"We have labor gigs available (Moving, Yard Work, and Painting)",Boston,,True,20.0,hourly
28,28,2022-09-26T03:36:41.000Z,https://boston.craigslist.org/nos/lbg/7538380889.html,Auto body rust repair work needed,Saugus,,True,35.0,hourly
29,29,2022-09-26T02:46:47.000Z,https://boston.craigslist.org/gbs/dmg/7538372141.html,Whole Bean Coffee Research Study,boston/cambridge/brookline,,True,1200.0,lump
30,30,2022-09-26T02:00:38.000Z,https://boston.craigslist.org/gbs/lbg/7538362555.html,Flexible Schedule - Shop and Deliver with Instacart,Boston,,True,,hourly
31,31,2022-09-26T00:30:25.000Z,https://boston.craigslist.org/gbs/dmg/7538340731.html,Instacart Delivery Driver - Flexible Hours,Boston,,True,,hourly
32,32,2022-09-26T00:12:17.000Z,https://boston.craigslist.org/gbs/lbg/7538335913.html,Handyman / Contractor,Boston,,True,20.0,hourly
33,33,2022-09-25T23:32:10.000Z,https://boston.craigslist.org/gbs/lbg/7538319922.html,Lyft Driver (part-time / full-time),Boston,,True,,hourly
